h3,lat,lon,area,CIS,CIS_adj,hidden_uplift_%,enf_days,police_station
8961892cdc7ffff,13.02227412536374,77.60497752533493,Southern Residency Apartment,1.87,2.86,53.0,1,R.T. Nagar
896189259afffff,12.928317781930298,77.57451305068919,AK Colony,1.87,2.86,53.0,1,Banashankari
896189258cbffff,12.944218593273668,77.61148589148264,Balappa Layout,1.87,2.86,53.0,1,Adugodi
89601451287ffff,12.902866837437374,77.51876267032858,Channasandra,1.87,2.86,53.0,1,Kengeri
8961892f60bffff,13.0560261721043,77.7441244372156,Bommenahalli,1.87,2.86,53.0,1,K.R. Pura
8961892f647ffff,13.059232792771773,77.74478299120148,,1.87,2.86,53.0,1,K.R. Pura
8961892f66fffff,13.062468621051812,77.73700043344041,,1.87,2.86,53.0,1,K.R. Pura
89618926043ffff,12.843496309687849,77.66395350015405,Venkateshwara Techno Park,1.87,2.86,53.0,1,Electronic City
8960145b42bffff,12.981730800466133,77.58262859907728,Race Course Area,1.87,2.86,53.0,1,High ground
8961892cd4bffff,13.03403279392466,77.60457379015222,R Krishnaappa Layout,1.87,2.86,53.0,1,Hebbala
8961892cd6fffff,13.032999240255522,77.59311926460487,MSH Layout,1.87,2.86,53.0,1,Hebbala
896016900a7ffff,13.194141871891302,77.68802199150596,Begur Chikkanahalli,1.87,2.86,53.0,1,Devanahalli Airport
89601458133ffff,12.984164227709798,77.4876441203695,Gaddekhani,1.87,2.86,53.0,1,Kamakshipalya
896016944c7ffff,13.134583736197552,77.56894145091286,Sai Springs,1.87,2.86,53.0,1,No Police Station
8961892ea23ffff,13.015783065537757,77.62894980340226,Captain Munshi Layout,1.87,2.86,53.0,1,K.G. Halli
89618924bb3ffff,12.89419250671209,77.55349219039738,,1.87,2.86,53.0,1,K.S. Layout
896189252bbffff,12.956852287717663,77.66468175899135,HAL Circle,1.87,2.86,53.0,1,HAL Old Airport
8961892c087ffff,13.037048776979674,77.66424265796327,Gowdara Patel Hanumanthaiah Circle,1.87,2.86,53.0,1,Hennuru
8960145a063ffff,12.948744795687809,77.53936623132917,Iyyana Shetty Layout,1.87,2.86,53.0,1,Byatarayanapura
89618924373ffff,12.90893484497832,77.61269595997051,EWS Colony,1.87,2.86,53.0,1,Mico Layout
89601690dcbffff,13.183568494311944,77.64083134897984,Meenakunte,1.87,2.86,53.0,1,Chikkajala
8960169106fffff,13.264627313750555,77.71938669166767,Nitesh Long Land,1.87,2.86,53.0,1,Devanahalli Airport
89601459e7bffff,13.062092361119436,77.50636582433873,Rangappa Layout,1.87,2.86,53.0,1,Chikkabanavara
89618921dcfffff,12.972555824398823,77.7523241104285,White Filed Outer Circle,1.87,2.86,53.0,1,Whitefield
8960145acdbffff,12.927463731125934,77.51255704101996,Kenchenahalli,1.87,2.86,53.0,1,Kengeri
89618925233ffff,12.961147291426412,77.65993702609022,HAL Old Township,1.87,2.86,53.0,1,Jeevanbheemanagar
8961892188fffff,12.987532287301212,77.75258394141032,Alembic Glass Colony,1.87,2.86,53.0,1,Mahadevapura
8960145a0b3ffff,12.931639804220092,77.54148715623145,Hosakerehalli,1.87,2.86,53.0,1,Banashankari
8961892468bffff,12.891651455728251,77.65694697879292,ND Passion Elite,1.87,2.86,53.0,1,Electronic City
89618925683ffff,12.94072642300186,77.68669180974028,Greenfinch Meadows,1.87,2.86,53.0,1,HAL Old Airport
8960145863bffff,13.002198551283028,77.53063222626868,RIECHS Layout,1.87,2.86,53.0,1,Rajajinagar
8960145acafffff,12.921113678557917,77.49441928508291,BDA Indraprastha,1.87,2.86,53.0,1,Kengeri
8960145ac57ffff,12.930694857851996,77.50479562078695,Sumadhura Pramoda,1.87,2.86,53.0,1,Kengeri
8961892ea1bffff,13.016814174665843,77.64040841677112,PNS Layout,1.87,2.86,53.0,1,Banaswadi
8960145944bffff,13.041627357365286,77.5667834023891,M Anjana Murthy Circle,1.87,2.86,53.0,1,Kodigehalli
8960145944fffff,13.040567559959845,77.56375697575301,Gowri Apartment,1.87,2.86,53.0,1,Kodigehalli
89601458153ffff,12.99160458191216,77.5003909858441,Hoysala Nagar,1.87,2.86,53.0,1,Kamakshipalya
8960145ad8bffff,12.914735858262294,77.48469843782746,Kengeri,1.87,2.86,53.0,1,Kengeri
8960145b0c7ffff,12.992429828036192,77.57919763295415,Kumara Park West,1.87,2.86,53.0,1,Sheshadripuram
8960145aa43ffff,12.971327938046748,77.49344374806746,Gidadakonenahalli,1.87,2.86,53.0,1,Jnanabharathi
8960145add7ffff,12.91579415588797,77.48772065873075,Ranka Aqua Greens,1.87,2.86,53.0,1,Kengeri
8960145add3ffff,12.916852453269987,77.49074300372958,Prince Ville,1.87,2.86,53.0,1,Kengeri
89601459033ffff,13.043843185777039,77.53914407812034,HMT Link Road,1.87,2.86,53.0,1,Jalahalli
8961892406fffff,12.898197343145117,77.62455137259687,Krishna Reddy Layout,1.87,2.86,53.0,1,Madiwala
8961892660bffff,12.846627620931542,77.68146780159181,Gold Hill Supreme Park,1.87,2.86,53.0,1,Electronic City
89618926b8bffff,12.847023050075018,77.58879018409854,Prestige Park Square,1.87,2.86,53.0,1,Thalagattapura
