h3,slope,base,pct_per_month,area,lat,lon,CIS,police_station,n_parking,trend
8961892c82fffff,-21.100000000000005,42.25,-49.9,Esteem Mall,13.047961186162649,77.59337095804608,39.46,Hebbala,172,Improving
89618924ac3ffff,-19.90000000000001,40.75,-48.8,Manjunath Colony,12.91117718875421,77.58505459033769,43.97,J.P. Nagar,174,Improving
89618925b13ffff,-3.4,7.0,-48.6,Sudama Nagar,12.953922122116776,77.58817906013418,23.59,Wilson Garden,35,Improving
89618925d8bffff,-1.9285714285714284,4.0,-48.2,MICO Layout,12.914318681110537,77.602556433048,13.5,Mico Layout,17,Improving
89618920a2fffff,-1.9285714285714284,4.0,-48.2,Sriram Spurthi Apartment,12.96521833652822,77.71422449394056,10.61,HAL Old Airport,12,Improving
89618925dd7ffff,-3.4999999999999987,7.333333333333333,-47.7,MICO Layout,12.915376319903816,77.60558307365056,20.13,Mico Layout,27,Improving
8960145b557ffff,-20.500000000000004,43.25,-47.4,Subash Nagar,12.975350343562363,77.57289433214187,46.41,Upparpet,197,Improving
8960145149bffff,-1.2999999999999996,2.75,-47.3,Thalaghattapura,12.867536368405512,77.53681332899949,18.98,Thalagattapura,22,Improving
8960145ae4bffff,-18.4,39.0,-47.2,Sri Gurukrupa Layout,12.959522855962454,77.51068260520356,43.83,Jnanabharathi,185,Improving
8961892e90bffff,-12.000000000000002,25.5,-47.1,Sulthan Nagar,12.989113959024948,77.61224366160927,33.35,Pulikeshinagar(F.Town),103,Improving
896189264cbffff,-2.7,5.75,-47.0,Vidyanagar,12.824147854371068,77.68529830403452,19.3,Electronic City,23,Improving
896189266b3ffff,-1.3999999999999997,3.0,-46.7,Columbia Aaltius,12.83380399499565,77.67884000356226,13.25,Electronic City,13,Improving
8960145334bffff,-2.799999999999999,6.0,-46.7,SS Vrudhi,12.862218250884975,77.53011192707314,30.96,Thalagattapura,72,Improving
896014584cfffff,-4.499999999999997,9.666666666666666,-46.6,Birla Tisya,12.980807689082555,77.53749388950011,21.37,Magadi Road,33,Improving
89618925a37ffff,-17.0,36.5,-46.6,Vaswani Centropolis,12.960301597960955,77.59791464015767,41.36,Ashok Nagar,184,Improving
896014598cbffff,-11.500000000000002,24.75,-46.5,Nagasandra,13.049302632562158,77.49533070855107,44.26,Chikkabanavara,137,Improving
89601690c2bffff,-88.30000000000003,191.25,-46.2,Sadahalli Gate Junction,13.191039786640756,77.64517618448407,65.12,Chikkajala,825,Improving
89618924203ffff,-62.29999999999999,134.75,-46.2,The Metropolitan Cooperative Housing Society,12.910984533466166,77.63560250473422,58.05,HSR Layout,586,Improving
8961892eeb3ffff,-20.999999999999996,46.0,-45.7,NGEF Layout,12.99111494783534,77.65201601468333,39.13,Banaswadi,155,Improving
89618925c0fffff,-3.500000000000002,7.666666666666667,-45.7,Madivala,12.928163678138935,77.61663168153399,18.57,Madiwala,26,Improving
89601459ebbffff,-3.1999999999999997,7.0,-45.7,Nelakadirena Halli,13.0471379809294,77.50611858990797,25.64,Peenya,41,Improving
89618924877ffff,-4.900000000000001,10.75,-45.6,LMC Industrial Layout,12.893072292282536,77.56730629642361,28.1,K.S. Layout,49,Improving
8961892090bffff,-14.7,32.25,-45.6,High Cliff,12.93639595139664,77.69987067135932,43.32,HAL Old Airport,194,Improving
8960145b5dbffff,-86.7,190.75,-45.5,Mysore Bank Circle,12.972118136651636,77.58066212569537,69.4,Upparpet,1102,Improving
8960145b303ffff,-58.0,127.5,-45.5,Rajaji Nagar,13.008529268490514,77.55720481371395,58.15,Malleshwaram,551,Improving
8960145a613ffff,-5.000000000000001,11.0,-45.5,Gavipuram Extension,12.946513804565612,77.56699708970689,27.75,Basavanagudi,54,Improving
89618924a63ffff,-11.900000000000004,26.25,-45.3,Banashankari Bus Stand Junction,12.918705298139068,77.57254735078503,42.17,Banashankari,168,Improving
89618924257ffff,-5.100000000000002,11.25,-45.3,HSR Layout,12.915247124431183,77.63928672366907,31.75,HSR Layout,74,Improving
8960145b69bffff,-1.6999999999999995,3.75,-45.3,Aalco Layout,12.994492533390305,77.60210154035977,17.72,R.T. Nagar,21,Improving
89601458587ffff,-12.6,28.0,-45.0,Sri Gurukrupa Layout,12.962725998344151,77.51133680677655,41.44,Jnanabharathi,142,Improving
8961892420bffff,-14.4,32.0,-45.0,The Metropolitan Cooperative Housing Society,12.914189675489924,77.63625882334098,36.78,HSR Layout,132,Improving
89618927667ffff,-11.100000000000005,24.75,-44.8,Ram Circle,12.902150737262838,77.70410197800562,37.81,Bellandur,114,Improving
896189266bbffff,-3.6999999999999984,8.25,-44.8,Columbia Aaltius,12.837009891275565,77.67949692534393,23.93,Electronic City,38,Improving
896189258bbffff,-2.000000000000001,4.5,-44.4,Dairy Circle,12.934635277796527,77.60109329776195,18.55,Mico Layout,22,Improving
8960145b6b7ffff,-12.9,29.25,-44.1,Kalpana Circle,12.990257029512792,77.58999313400031,38.29,High ground,141,Improving
8961892e0c3ffff,-2.299999999999999,5.25,-43.8,Mahadevpura Circle,12.993079769253942,77.7002415939476,18.59,Mahadevapura,26,Improving
8961892e40bffff,-4.500000000000002,10.333333333333334,-43.5,The Premier Aratt,12.981281955724036,77.709077545069,21.03,Mahadevapura,32,Improving
8961892edc3ffff,-10.600000000000001,24.5,-43.3,Indiranagar ESI Hospital Junction,12.970855297706493,77.6366177649823,39.35,Jeevanbheemanagar,133,Improving
