h3,lat,lon,area,police_station,growth_x,delta_per_day,base_rate,rec_rate,rec_n,CIS,top_violation
8960145ad9bffff,12.912591326292894,77.4870669769287,Nathamkaiamcheri,Kengeri,5.12,0.271,0.045871559633027525,0.3170731707317073,13.0,19.5,PARKING IN A MAIN ROAD
896016960c3ffff,13.098215646036618,77.583982401524,Sector B,Yelahanka,5.06,0.603,0.12844036697247707,0.7317073170731707,30.0,25.31,WRONG PARKING
8960145918bffff,13.034256564638236,77.52875883479138,BDA Industrial Suburb,Yeshwanthpura,5.04,0.192,0.027522935779816515,0.21951219512195122,9.0,11.13,WRONG PARKING
8961892482bffff,12.892014785214199,77.56428130900501,Narayana Nagar,K.S. Layout,5.04,0.192,0.027522935779816515,0.21951219512195122,9.0,12.74,NO PARKING
8961892c947ffff,13.04478195094608,77.58428887272623,Abdul Jabbar Layout,Kodigehalli,5.04,0.192,0.027522935779816515,0.21951219512195122,9.0,11.37,NO PARKING
8961892e447ffff,12.9844881435132,77.70973531771631,ESI Road Junction,Mahadevapura,5.01,0.484,0.10091743119266056,0.5853658536585366,24.0,23.9,WRONG PARKING
8961892c357ffff,13.064890973952178,77.65025979906346,Arge Helios,Hennuru,4.98,0.445,0.09174311926605505,0.5365853658536586,22.0,20.71,WRONG PARKING
8961892eb97ffff,12.997640980093008,77.61961164393412,Government Police Quarters,Pulikeshinagar(F.Town),4.95,0.405,0.08256880733944955,0.4878048780487805,20.0,18.99,WRONG PARKING
89618925c07ffff,12.924958856711559,77.61597568176134,Madiwala Junction,Madiwala,4.91,0.366,0.07339449541284404,0.43902439024390244,18.0,19.77,NO PARKING
896016911d7ffff,13.244330021368336,77.71240172493725,Dr MD Nanjundaswamy Circle,Devanahalli Airport,4.86,0.926,0.22018348623853212,1.146341463414634,47.0,32.02,NO PARKING
89601459b13ffff,13.05897407311296,77.47204278381328,Madavara,No Police Station,4.49,0.262,0.05504587155963303,0.3170731707317073,13.0,14.93,WRONG PARKING
896189258abffff,12.93678185081552,77.59872233612496,Hombegowda Nagar,Wilson Garden,4.49,0.262,0.05504587155963303,0.3170731707317073,13.0,14.47,NO PARKING
89618925b37ffff,12.952892973581834,77.57672967749363,Sajjan Rao Circle,V.V.Puram (C.Pet),4.47,1.057,0.28440366972477066,1.3414634146341464,55.0,31.92,WRONG PARKING
896189251afffff,12.92810012497215,77.63348470349756,Koramangala,Adugodi,4.29,0.819,0.22935779816513763,1.048780487804878,43.0,32.01,NO PARKING
8960145a653ffff,12.953980305342835,77.57133319514705,Chandra Shekhar Bharati Layout,V.V.Puram (C.Pet),4.27,0.576,0.1559633027522936,0.7317073170731707,30.0,22.66,NO PARKING
8961892446fffff,12.883161251547719,77.64115021308399,Ramaiah Reddy Layout,Hulimavu,4.23,1.486,0.44036697247706424,1.9268292682926829,79.0,36.71,WRONG PARKING
89618924273ffff,12.91633732868704,77.63388732767702,Sai Nandana Residency,HSR Layout,4.22,0.183,0.03669724770642202,0.21951219512195122,9.0,14.38,WRONG PARKING
89618925133ffff,12.931305213783224,77.63414102093309,Koramangala,Adugodi,4.22,1.392,0.41284403669724773,1.8048780487804879,74.0,38.01,NO PARKING
8960145b507ffff,12.970028860774471,77.5661872356037,SBI Flats Binnyston Gardens,Magadi Road,4.17,0.442,0.11926605504587157,0.5609756097560976,23.0,23.09,WRONG PARKING
8961892e0dbffff,12.994138066742732,77.70327265867313,Brigade Summit,Mahadevapura,4.09,0.402,0.11009174311926606,0.5121951219512195,21.0,22.01,WRONG PARKING
896189258c7ffff,12.939955866970383,77.60780286016352,ML Colony,Adugodi,4.08,0.457,0.12844036697247707,0.5853658536585366,24.0,22.7,NO PARKING
8960145987bffff,13.05466917881846,77.48519792250843,Chikkabidarakallu,No Police Station,4.01,0.198,0.045871559633027525,0.24390243902439024,10.0,13.87,WRONG PARKING
89618920e7bffff,12.956555897939342,77.74059321388498,DNR Atmosphere,Whitefield,4.01,0.198,0.045871559633027525,0.24390243902439024,10.0,14.31,WRONG PARKING
8961892432fffff,12.905762343318676,77.60361580014528,Kalyani Trident,Mico Layout,4.01,0.198,0.045871559633027525,0.24390243902439024,10.0,14.12,NO PARKING
89618925e33ffff,12.946334690758022,77.61754055221942,Rajendra Nagar,Adugodi,4.01,0.198,0.045871559633027525,0.24390243902439024,10.0,14.09,WRONG PARKING
