n_zones,zone_frac,impact_cov,violation_cov
55,0.021704814522494082,0.5830516438896055,0.47489152105077986
56,0.022099447513812154,0.5866926388092316,0.4787012682403793
57,0.02249408050513023,0.5901839543138085,0.482594782958334
58,0.022888713496448304,0.59365197110073,0.48569418150748045
59,0.023283346487766376,0.5970965066351315,0.48944696677779825
60,0.02367797947908445,0.6005399313048199,0.49249945551106566
61,0.024072612470402526,0.603981890935121,0.49576973981805694
62,0.0244672454617206,0.6073853748581673,0.49809512640520026
63,0.024861878453038673,0.6107128631965125,0.5013050980917757
64,0.025256511444356748,0.6138842389202261,0.5042838714000905
65,0.025651144435674823,0.6169770012286084,0.5080433580726768
66,0.026045777426992895,0.6200453040348664,0.5109919750707835
67,0.02644041041831097,0.6231116895213759,0.5139271892643535
68,0.026835043409629045,0.6260925306318406,0.5166580106887366
69,0.02722967640094712,0.6290102630818353,0.5201896496841965
70,0.027624309392265192,0.6318799253348949,0.5230980582686927
71,0.028018942383583267,0.6347035140602053,0.5258623867044179
72,0.028413575374901343,0.637450782669645,0.5289081740354169
73,0.028808208366219414,0.6401368450932495,0.5313876928747341
74,0.02920284135753749,0.6427959300687106,0.5338571596106485
75,0.029597474348855565,0.6454279061782416,0.5362830672318183
76,0.02999210734017364,0.6480528325523754,0.5387424818643302
77,0.03038674033149171,0.6506367710122143,0.5410712191526077
78,0.030781373322809787,0.6531777679990073,0.5440064333461777
79,0.031176006314127862,0.6556581805681565,0.5460537117391814
80,0.03157063930544594,0.6581308287225431,0.5483288378093116
81,0.03196527229676401,0.6605978783726323,0.5506106652817102
82,0.03235990528808208,0.6630598256513015,0.5527752182144113
83,0.032754538279400155,0.6655174571420375,0.5553083482718759
84,0.03314917127071823,0.6679409791892147,0.5580358189951248
85,0.033543804262036306,0.6702582873601114,0.5606627686843472
86,0.03393843725335438,0.6725222647471552,0.5635812293722462
87,0.034333070244672456,0.6747566253831148,0.5659602271775369
88,0.03472770323599053,0.6769833268610724,0.5681582871215802
89,0.0351223362273086,0.679194760263037,0.5701352007907655
90,0.035516969218626675,0.6814012966266076,0.5727956574913301
91,0.03591160220994475,0.6835799872043743,0.574893196401347
92,0.036306235201262825,0.6857118875007914,0.5781400258003987
93,0.0367008681925809,0.6878326074918181,0.5803447871467105
94,0.037095501183898975,0.6899441949159797,0.5824155204476537
95,0.03749013417521705,0.6920381687633448,0.5842148469567257
96,0.037884767166535126,0.6941266615598061,0.5862621253497294
97,0.038279400157853194,0.696176731332425,0.5888790229355493
98,0.03867403314917127,0.6982165808075156,0.5911440969022768
99,0.039068666140489344,0.7002450191268639,0.5934091708690044
100,0.03946329913180742,0.7022666667371448,0.5955201125835581
101,0.039857932123125495,0.7042800839073109,0.597332841897167
102,0.04025256511444357,0.7062148391838955,0.5994069258992444
103,0.040647198105761645,0.708098682990922,0.6019300038533063
104,0.04104183109707971,0.7099538791257907,0.603581899512473
105,0.04143646408839779,0.7117556811215495,0.6053946288260819
106,0.041831097079715863,0.7135253354645734,0.6074720635292935
107,0.04222573007103394,0.7152784319034553,0.6091273098895944
108,0.042620363062352014,0.7170017938428475,0.6109500913066059
109,0.04301499605367009,0.718714085703415,0.6126857544941279
110,0.043409629044988164,0.7204126005366933,0.6143242473487577
111,0.04380426203630623,0.7220828731597704,0.6157683995376032
112,0.04419889502762431,0.7237379574496269,0.617879341252157
113,0.04459352801894238,0.7253568819482417,0.6198562549213423
114,0.04498816101026046,0.7269417234398927,0.6212803029033825
115,0.04538279400157853,0.7285155663224364,0.6231064350215283
116,0.04577742699289661,0.7300852039556888,0.6248420982090502
117,0.04617205998421468,0.7316531367768059,0.6266883345340012
118,0.04656669297553275,0.7332113959092368,0.6285245187555496
119,0.04696132596685083,0.734768548626771,0.6305382901372112
120,0.0473559589581689,0.7363236426070652,0.6325018010018596
121,0.04775059194948698,0.7378553500092313,0.6342575683961869
122,0.04814522494080505,0.7393776698305943,0.6358826584462799
123,0.04853985793212313,0.740898547810086,0.6377523496791704
124,0.0489344909234412,0.7424003673776111,0.6392534637872975
125,0.04932912391475927,0.7438997104771559,0.6411566620315301
126,0.049723756906077346,0.7453775179129916,0.6425740086113019
127,0.05011838989739542,0.7468462404617043,0.6440617199148921
128,0.050513022888713496,0.7482884247921523,0.6455326777128114
129,0.05090765588003157,0.7497282281944059,0.6469902327061938
