h3,lat,lon,day,hour,window,risk,risk_low,risk_high,cell_rate
8960145b59bffff,12.96465116440439,77.57632508363632,Sun,8,08:00-09:00,5.249730127654348,2.3738713714564414,7.5360665142698124,373.2608695652174
8960145b427ffff,12.97746783062643,77.57894671319185,Fri,9,09:00-10:00,5.137346099100512,3.867558575188089,9.123199065621515,320.39130434782606
8960145b30fffff,13.010673683143166,77.55483414866346,Sun,9,09:00-10:00,5.13047720256602,2.140456204417513,5.812966548761056,112.69565217391305
8960145b5cbffff,12.974263654955623,77.57829127810561,Sat,9,09:00-10:00,5.121623450005359,3.9228990051771913,8.283228471684104,260.5217391304348
8960145b5cbffff,12.974263654955623,77.57829127810561,Mon,8,08:00-09:00,5.11371715100099,3.796855229258269,8.620178761224919,260.5217391304348
8960145b553ffff,12.976409087424585,77.5759204607417,Fri,5,05:00-06:00,5.105623859977717,3.7386166870127546,9.740846671612928,527.0869565217391
8960145a26bffff,12.97437379053479,77.54460425854465,Wed,8,08:00-09:00,5.093612394488753,1.7527657933758083,6.228015275061983,158.82608695652175
8960145b4cbffff,12.98167451890872,77.59947811999245,Thu,5,05:00-06:00,5.093551708710612,1.2944838474423421,5.7379771966299815,87.34782608695652
89618920923ffff,12.933223647523132,77.69077993064658,Thu,10,10:00-11:00,5.072061468187932,1.4811667383782496,7.843471182086828,293.4347826086956
8960145b59bffff,12.96465116440439,77.57632508363632,Sat,1,01:00-02:00,5.067261105423237,3.468068572932575,8.86355449718762,373.2608695652174
8960145b553ffff,12.976409087424585,77.5759204607417,Sat,3,03:00-04:00,5.065054657412366,2.1117304105634385,6.851887988140541,527.0869565217391
89618920923ffff,12.933223647523132,77.69077993064658,Sat,9,09:00-10:00,5.061227829041755,3.560774900404561,11.124353019004257,293.4347826086956
8960145b553ffff,12.976409087424585,77.5759204607417,Mon,5,05:00-06:00,5.047533528585438,3.656773304616082,10.472109653620635,527.0869565217391
8960145b553ffff,12.976409087424585,77.5759204607417,Fri,6,06:00-07:00,5.043900477886347,3.739018346367957,9.709335371331315,527.0869565217391
8960145b5cbffff,12.974263654955623,77.57829127810561,Sat,10,10:00-11:00,4.97941544338945,4.002432152210646,8.283228471684104,260.5217391304348
8960145b5cbffff,12.974263654955623,77.57829127810561,Wed,9,09:00-10:00,4.9639355754824726,3.2903941383163193,6.6880272509590535,260.5217391304348
8960145b553ffff,12.976409087424585,77.5759204607417,Sun,7,07:00-08:00,4.959630042204095,2.128615368963333,7.487884947929267,527.0869565217391
8961892e9abffff,12.981645967305287,77.60790407487231,Fri,9,09:00-10:00,4.940434669824088,3.6640803611781596,8.556581734302874,289.8695652173913
8960145b30fffff,13.010673683143166,77.55483414866346,Sun,10,10:00-11:00,4.93104522405003,2.0791587207903355,5.844956569151498,112.69565217391305
8960145b553ffff,12.976409087424585,77.5759204607417,Thu,5,05:00-06:00,4.897238072864134,3.8328520486946003,9.576807249128002,527.0869565217391
8960145b3a7ffff,13.000003175983794,77.54984346680071,Sun,8,08:00-09:00,4.896736587680838,2.3640917401921064,6.55985246341305,186.65217391304347
8961892e9abffff,12.981645967305287,77.60790407487231,Tue,11,11:00-12:00,4.893055455231347,3.1161673043823397,7.480531466248522,289.8695652173913
8960145b427ffff,12.97746783062643,77.57894671319185,Sun,2,02:00-03:00,4.887725294401789,2.2897053803404877,7.102150275556125,320.39130434782606
89618920923ffff,12.933223647523132,77.69077993064658,Wed,8,08:00-09:00,4.874439309739921,2.2144911725349647,8.773999362708068,293.4347826086956
8960145b553ffff,12.976409087424585,77.5759204607417,Sat,12,12:00-13:00,4.85622808320415,1.9428748379568384,6.718496870605602,527.0869565217391
8960145a26bffff,12.97437379053479,77.54460425854465,Tue,8,08:00-09:00,4.838348010086203,1.7720385615607501,6.279606919245719,158.82608695652175
89618920923ffff,12.933223647523132,77.69077993064658,Tue,10,10:00-11:00,4.823506368492323,1.7628324819743315,7.908767826351305,293.4347826086956
8960145b59bffff,12.96465116440439,77.57632508363632,Tue,9,09:00-10:00,4.810785948955698,3.643622717046868,9.373703375822917,373.2608695652174
8960145b553ffff,12.976409087424585,77.5759204607417,Tue,7,07:00-08:00,4.810591912551648,2.260641037741146,6.637830098175912,527.0869565217391
8961892e9abffff,12.981645967305287,77.60790407487231,Wed,8,08:00-09:00,4.806333694861704,3.2841697266030954,7.346388029302908,289.8695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Sun,7,07:00-08:00,4.798906561435194,1.743540334940513,5.850989206352998,289.8695652173913
8961892e917ffff,12.982704611494386,77.61093157697483,Sat,10,10:00-11:00,4.79485453531037,3.718427986197545,7.1623370526594545,211.91304347826087
8960145b30fffff,13.010673683143166,77.55483414866346,Mon,11,11:00-12:00,4.777740026995233,1.3574677313001682,4.940174877443228,112.69565217391305
8960145b3a7ffff,13.000003175983794,77.54984346680071,Tue,8,08:00-09:00,4.771326229655324,2.2620072666662447,5.934409488892932,186.65217391304347
8961892e2bbffff,13.009140358493172,77.69509425538708,Sat,0,00:00-01:00,4.766792815590746,2.0552296914904464,5.795026835216355,144.8695652173913
8960145b59bffff,12.96465116440439,77.57632508363632,Fri,9,09:00-10:00,4.75915737573334,3.6864093373232807,9.107809376770582,373.2608695652174
8961892e9abffff,12.981645967305287,77.60790407487231,Sun,12,12:00-13:00,4.737779037743036,1.453416115753443,5.987363258568552,289.8695652173913
